https://github.com/advaith-srinivas/Final_Year_Project/blob/main/Data/LOAD%200%20data/IR7_0%20(1).csv?raw=true,INNER RACE FAULT OF 0.007 INCH,IR_7_0
https://github.com/advaith-srinivas/Final_Year_Project/blob/main/Data/LOAD%200%20data/IR14_0%20(1).csv?raw=true,INNER RACE FAULT OF 0.014 INCH,IR_14_0
https://github.com/advaith-srinivas//Final_Year_Project/blob/main/Data/LOAD%200%20data/IR21_0%20(1).csv?raw=true,INNER RACE FAULT OF 0.021 INCH,IR_21_0
https://github.com/advaith-srinivas//Final_Year_Project/blob/main/Data/LOAD%200%20data/OR7_0%20(1).csv?raw=true,OUTER RACE FAULT OF 0.007 INCH,OR_7_0
https://github.com/sarath-25/Final_Year_Project/blob/main/Data/LOAD%200%20data/0R14_0%20(2).csv?raw=true,OUTER  RACE FAULT OF 0.014 INCH,OR_14_0
https://github.com/sarath-25/Final_Year_Project/blob/main/Data/LOAD%200%20data/OR21_0%20(1).csv?raw=true,OUTER RACE FAULT OF 0.021 INCH,OR_21_0
https://github.com/sarath-25/Final_Year_Project/blob/main/Data/LOAD%200%20data/B7_0%20(1).csv?raw=true,BALL RACE FAULT OF 0.007 INCH,BL_7_0
https://github.com/sarath-25/Final_Year_Project/blob/main/Data/LOAD%200%20data/B14_0%20(1).csv?raw=true,BALL RACE FAULT OF 0.014 INCH,BL_14_0
https://github.com/sarath-25/Final_Year_Project/blob/main/Data/LOAD%200%20data/B21_0%20(1).csv?raw=true,BALL RACE FAULT OF 0.021 INCH,BL_21_0
https://github.com/advaith-srinivas/Final_Year_Project/blob/main/Data/LOAD%200%20data/NORMAL_0%20(2).csv?raw=true,NORMAL BEARING,NORMAL
